Results Table 1,,,,,,,
,Digital Strain 1 gauge length,Maximum Force,Specimen note 1,Rate 1,Digital Strain 1 at Break (Automatic force drop),Specimen note 2,Specimen note 3
,(mm),(N),,(mm/min),(%),,
1,9.59,3196.2251,,50,2.01,,
2,9.75,3051.6743,,50,3.1,,
3,10.11,2886.5696,,50,0.25,,
4,9.67,2991.3896,,50,2.52,,
,,,,,,,
Results Table 2,,,,,,,
,,,,,,,
,,,,,,,
1,Time,Displacement,Force,Tensile strain (Digital Strain 1),Tensile stress,Tensile displacement,Corrected displacement 1
,(s),(mm),(N),(%),(MPa),(mm),(mm)
,1.384,1.1251,1954.8918,1.9077,67.4101,0.183,1.0527
,1.385,1.1259,1863.2953,1.8544,64.2516,0.1778,1.0573
2,Time,Displacement,Force,Tensile strain (Digital Strain 1),Tensile stress,Tensile displacement,Corrected displacement 1
,(s),(mm),(N),(%),(MPa),(mm),(mm)
,0,0.0066,-0.6931,0,-0.0239,0,0.0065
,0.02,0.0069,0.3282,0,0.0113,0,0.0067
,0.04,0.0119,23.0052,0.0001,0.7933,0,0.0109
,0.06,0.0257,86.2036,0.0022,2.9725,0.0002,0.0225
,0.079,0.0428,162.8851,0.0332,5.6167,0.0032,0.0369
,0.099,0.0605,240.279,0.095,8.2855,0.0093,0.0519
,0.119,0.0771,308.9496,0.1324,10.6534,0.0129,0.0662
,0.139,0.0934,372.3237,0.1536,12.8387,0.015,0.0803
,0.159,0.1098,436.8184,0.1735,15.0627,0.0169,0.0945
,0.179,0.1263,502.1198,0.2066,17.3145,0.0201,0.1086
,0.199,0.1427,566.3763,0.2519,19.5302,0.0246,0.1229
,0.219,0.1592,628.5162,0.2891,21.673,0.0282,0.1371
,0.239,0.1757,689.3876,0.3164,23.772,0.0309,0.1515
,0.259,0.1922,749.3259,0.3399,25.8388,0.0331,0.1659
,0.279,0.2088,808.7178,0.3649,27.8868,0.0356,0.1803
,0.299,0.2254,868.2815,0.3928,29.9407,0.0383,0.1948
,0.319,0.2419,927.0415,0.4236,31.9669,0.0413,0.2092
,0.339,0.2583,984.9006,0.4569,33.9621,0.0446,0.2236
,0.359,0.275,1042.5994,0.4795,35.9517,0.0468,0.2381
,0.379,0.2916,1099.6421,0.5018,37.9187,0.0489,0.2526
,0.399,0.3082,1155.6812,0.5261,39.8511,0.0513,0.2672
,0.419,0.3247,1210.4635,0.5557,41.7401,0.0542,0.2817
,0.439,0.3413,1264.6458,0.5866,43.6085,0.0572,0.2962
,0.459,0.358,1318.4426,0.6203,45.4635,0.0605,0.3109
,0.479,0.3746,1371.2529,0.664,47.2846,0.0648,0.3255
,0.499,0.3913,1422.989,0.6946,49.0686,0.0677,0.3402
,0.519,0.4079,1473.6923,0.714,50.817,0.0696,0.3548
,0.539,0.4244,1523.5627,0.7362,52.5366,0.0718,0.3695
,0.559,0.4411,1572.6976,0.7626,54.231,0.0744,0.3842
,0.579,0.4578,1620.9255,0.7941,55.894,0.0775,0.399
,0.599,0.4745,1668.4708,0.8256,57.5335,0.0805,0.4138
,0.619,0.4911,1715.0044,0.8544,59.1381,0.0833,0.4285
,0.639,0.5077,1760.635,0.8819,60.7116,0.086,0.4432
,0.659,0.5243,1805.7502,0.9099,62.2673,0.0887,0.4581
,0.679,0.541,1850.2153,0.9378,63.8005,0.0915,0.473
,0.699,0.5577,1893.9445,0.9649,65.3084,0.0941,0.4879
,0.719,0.5743,1936.3931,0.9926,66.7722,0.0968,0.5028
,0.739,0.5909,1977.8314,1.0208,68.2011,0.0996,0.5176
,0.759,0.6077,2018.8849,1.0487,69.6167,0.1023,0.5326
,0.779,0.6244,2059.0779,1.0763,71.0027,0.105,0.5477
,0.799,0.641,2098.2771,1.1038,72.3544,0.1076,0.5627
,0.819,0.6577,2136.4709,1.1321,73.6714,0.1104,0.5777
,0.839,0.6743,2173.9924,1.1611,74.9653,0.1132,0.5928
,0.859,0.691,2211.083,1.1897,76.2442,0.116,0.6079
,0.879,0.7077,2247.4968,1.2188,77.4999,0.1189,0.6231
,0.899,0.7244,2283.0962,1.25,78.7275,0.1219,0.6383
,0.919,0.7411,2317.7532,1.2864,79.9225,0.1255,0.6534
,0.939,0.7577,2351.3486,1.3188,81.081,0.1286,0.6685
,0.959,0.7743,2384.6194,1.351,82.2283,0.1318,0.6837
,0.979,0.791,2417.4512,1.3842,83.3604,0.135,0.699
,0.999,0.8077,2449.5225,1.415,84.4663,0.138,0.7143
,1.019,0.8243,2480.6274,1.446,85.5389,0.141,0.7296
,1.039,0.8409,2510.9658,1.4791,86.585,0.1443,0.7448
,1.059,0.8576,2540.9382,1.512,87.6186,0.1475,0.7601
,1.079,0.8743,2570.2739,1.5441,88.6301,0.1506,0.7756
,1.099,0.891,2598.8276,1.5768,89.6147,0.1538,0.791
,1.119,0.9076,2626.5669,1.6084,90.5713,0.1569,0.8064
,1.139,0.9243,2653.4622,1.637,91.4987,0.1597,0.8218
,1.159,0.941,2679.8469,1.6663,92.4085,0.1625,0.8374
,1.179,0.9577,2705.4851,1.6984,93.2926,0.1656,0.8529
,1.199,0.9743,2730.4368,1.7336,94.153,0.1691,0.8684
,1.219,0.991,2754.6953,1.7713,94.9895,0.1727,0.884
,1.239,1.0076,2778.1899,1.8087,95.7997,0.1764,0.8995
,1.259,1.0243,2801.1331,1.846,96.5908,0.18,0.9152
,1.279,1.041,2823.4609,1.8804,97.3607,0.1834,0.9309
,1.299,1.0577,2844.9907,1.9157,98.1031,0.1868,0.9466
,1.319,1.0744,2865.5193,1.953,98.811,0.1905,0.9623
,1.339,1.091,2884.8848,1.9905,99.4788,0.1941,0.9779
,1.359,1.1076,2903.8035,2.0305,100.1312,0.198,0.9937
,1.379,1.1243,2922.3359,2.0711,100.7702,0.202,1.0096
,1.399,1.141,2939.8665,2.111,101.3747,0.2059,1.0254
,1.419,1.1576,2956.4343,2.1511,101.946,0.2098,1.0412
,1.439,1.1742,2972.01,2.197,102.4831,0.2143,1.0571
,1.459,1.1909,2986.6572,2.2495,102.9882,0.2194,1.0731
,1.479,1.2076,3000.2314,2.3038,103.4563,0.2247,1.0891
,1.499,1.2244,3012.5762,2.3627,103.8819,0.2304,1.1053
,1.519,1.2411,3023.6318,2.4138,104.2632,0.2354,1.1214
,1.539,1.2577,3032.8809,2.4741,104.5821,0.2413,1.1376
,1.559,1.2744,3040.4236,2.5368,104.8422,0.2474,1.1539
,1.579,1.2911,3046.4146,2.6085,105.0488,0.2544,1.1703
,1.599,1.3078,3050.2095,2.6868,105.1796,0.262,1.1868
,1.619,1.3244,3051.6743,2.7622,105.2301,0.2694,1.2034
,1.639,1.341,3049.7129,2.8488,105.1625,0.2778,1.2201
,1.659,1.3576,3042.9431,2.9445,104.9291,0.2872,1.2371
,1.675,1.3711,2960.71,3.0283,102.0934,0.2953,1.2544
,1.677,1.3727,2871.6318,3.0396,99.0218,0.2964,1.2603
,1.679,1.3744,2754.1279,3.0511,94.9699,0.2976,1.2675
,1.681,1.3761,2615.3391,3.0624,90.1841,0.2987,1.2754
,1.682,1.377,2539.7795,3.068,87.5786,0.2992,1.2796
,1.683,1.3778,2460.9685,3.0735,84.861,0.2998,1.2839
,1.684,1.3787,2379.4548,3.0789,82.0502,0.3003,1.2883
,1.685,1.3795,2295.7732,3.0843,79.1646,0.3008,1.2928
,1.686,1.3804,2210.4487,3.0895,76.2224,0.3013,1.2973
,1.687,1.3812,2123.8877,3.0945,73.2375,0.3018,1.3018
,1.688,1.3821,2036.5422,3.0995,70.2256,0.3023,1.3063
,1.689,1.383,1948.8422,3.1043,67.2015,0.3028,1.3108
,1.69,1.3838,1861.0948,3.109,64.1757,0.3032,1.3153
,1.691,1.3847,1773.6533,3.1135,61.1605,0.3036,1.3198
3,Time,Displacement,Force,Tensile strain (Digital Strain 1),Tensile stress,Tensile displacement,Corrected displacement 1
,(s),(mm),(N),(%),(MPa),(mm),(mm)
,0,0.0074,-1.1798,0,-0.0407,0,0.0073
,0.02,0.0077,-0.1941,0,-0.0067,0,0.0076
,0.04,0.0128,21.2704,0.0008,0.7335,0.0001,0.0118
,0.06,0.0267,80.9817,0.0035,2.7925,0.0003,0.0236
